X,Y,ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT
14.8900369632714,-8.57838946483701,,225-08,EN225,0,16.76,16.76,Quiambata,Camongua,Primary,CUANZA NORTE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
14.9587123114154,-8.58806224281792,,225-09,EN225,0,20.37,20.37,Camongua,Aldeia Nova,Primary,CUANZA NORTE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
15.0177151590806,-8.52809219314532,,225-10,EN225,0,22.37,22.37,Aldeia Nova,Terreiro,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.163639920525,-8.45212238723695,,225-11,EN225,0,19.6,19.6,Terreiro,Bolongongo,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.2537265645254,-8.51745236624358,,225-12,EN225,0,10.52,10.52,Bolongongo,Quiculungo,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.4693768536708,-8.51538075885133,,225-14,EN225,0,13.96,13.96,Pambos de Sonhe,Senda,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.6319885481215,-8.53964236733898,,225-16,EN225,0,11.49,11.49,Luinga,Guzo,Primary,CUANZA NORTE,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day
15.6773990628078,-8.52325535566271,,225-17,EN225,0,23.65,23.65,Guzo,Cateco Cangola,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
16.0236651302883,-8.45361339297468,,225-18,EN225,0,71.24,71.24,Cateco Cangola,Cuale,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,Assume half paved and half gravel
16.3467299569252,-8.3017532619037,,225-19,EN225,0,25.57,25.57,Cuale,Huamba,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
16.3863875331582,-8.32980392818149,,225-20,EN225,0,20.96,20.96,Huamba,Quizela,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
16.4366849400846,-8.40041398521189,,225-21,EN225,0,20.09,20.09,Quizela,Samba,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
16.5750031497213,-8.41008643349228,,225-22,EN225,0,18.42,18.42,Samba,Bange Angola,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day
18.82364642656,-8.38744672286289,,225-27,EN225,0,36.52,36.52,Caungula,Camaxilo,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
19.7106545919231,-8.28647892376738,,225-29,EN225,0,20.08,20.08,Cu°lo,Caluango,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.3170329391987,-8.34136146199069,,225-31,EN225,0,74.2,74.2,Capaia,Caimbungo,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.6414850479302,-8.16314965172458,,225-32,EN225,0,20.19,20.19,Caimbungo,Camissombo,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
13.2404136955445,-8.88433658779893,,230-01,EN230,0,17.35,17.35,Luanda,Viana,Primary,LUANDA,7.9,2,Paved,Good,7000,Paved,
15.3003780526665,-9.31584730824495,,230-07,EN230,0,28.23,28.23,Lucala,Quizenga,Primary,CUANZA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
15.5441269451236,-9.40174506917422,,230-08,EN230,0,22.29,22.29,Quizenga,Cacuso,Primary,MALANJE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
16.4290141550019,-9.51567813051863,,230-11,EN230,0,42.93,42.93,Malange,Catala,Primary,MALANJE,7.9,2,Paved,Good,500,Paved,
16.8070928534213,-9.47579179967715,,230-12,EN230,0,14.21,14.21,Catala,Caculama,Primary,MALANJE,7.9,2,Paved,Good,500,Paved,
16.8731365503362,-9.47783088309804,,230-13,EN230,0,7.92,7.92,Caculama,Mucari,Primary,MALANJE,7.9,2,Paved,Good,500,Paved,
17.0162720981662,-9.43003630905644,,230-14,EN230,0,26.75,26.75,Mucari,Cabatuquila,Primary,MALANJE,7.9,2,Paved,Good,500,Paved,
17.1428869679985,-9.39794178495849,,230-15,EN230,0,9.04,9.04,Cabatuquila,Xandel,Primary,MALANJE,7.9,2,Paved,Good,500,Paved,
18.0597839695056,-9.38729855995872,,230-17,EN230,0,57.13,57.13,Xamuteba,Rio Cuango,Primary,LUNDA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
18.3327941901796,-9.3323364297269,,230-18,EN230,0,35.49,35.49,Rio Cuango,Capenda Camulemba,Primary,LUNDA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
20.2446686432382,-9.80567311825342,,230-22,EN230,0,53.83,53.83,Mona Quimbundo,Saurimo,Primary,LUNDA SUL,7.9,2,Paved,Good,1184,Paved,
15.0510202695085,-10.7310505140571,,240-03,EN240,0,14.27,14.27,Quibala,Zumba,Primary,CUANZA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
15.185121943429,-10.6638245862735,,240-04,EN240,0,31.34,31.34,Zumba,Caringo,Primary,CUANZA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
15.9018080076754,-10.5697691595675,,240-06,EN240,0,28.71,28.71,Quitubia,Mussende,Primary,CUANZA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
16.8864469314143,-10.7305498131976,,240-08,EN240,0,39.8,39.8,Chimbamba,Quissonde,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.(No info on how they link)
17.4549744697289,-10.6134246993343,,240-11,EN240,0,24.57,24.57,Capunda,Goi Fumo,Primary,MALANJE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.0091642417058,-11.1725450702896,,240-17,EN240,0,55.21,55.21,Luma Cassai,Dala,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
20.5132471794075,-11.1311719034919,,240-19,EN240,0,48.25,48.25,Chimbila,Cazage,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
22.1627900093911,-10.6965027113013,,240-22,EN240,0,35.36,35.36,Cassai,Luau,Primary,MOXICO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.
13.8576396630712,-11.3040258089682,,245-01,EN245,0,13.39,13.39,Sumbe,Hote,Primary,CUANZA SUL,7.9,2,Paved,Good,507,Paved,
13.8862189118803,-11.3498717389253,,245-02,EN245,0,11.24,11.24,Hote,Quilenda,Primary,CUANZA SUL,7.9,2,Paved,Good,507,Paved,
14.3172906322729,-11.4302511737088,,245-04,EN245,0,15.69,15.69,Uku-Seles,Aquepa,Primary,CUANZA SUL,7.9,2,Paved,Good,507,Paved,
14.4790019469711,-11.4939592124627,,245-05,EN245,0,38.49,38.49,Aquepa,Amboiva,Primary,CUANZA SUL,7.9,2,Paved,Good,507,Paved,
14.7775370840437,-11.4540672845156,,245-06,EN245,0,29.14,29.14,Amboiva,Mussango,Primary,CUANZA SUL,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
14.9609211977238,-11.3367729600908,,245-07,EN245,0,12.82,12.82,Mussango,Colo-Colo,Primary,CUANZA SUL,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.
13.8991789692058,-12.3991950459,,250-01,EN250,0,32.09,32.09,Lobito (Prox.),Bocoio,Primary,BENGUELA,7.9,2,Paved,Good,287,Paved,
